"model_muscle_name","handsfield_name","volume_proportion","joint","b_slope","b_intercept"
"addbrev_r","addbrev",1,"hip",0.622,27.1
"addlong_r","addlong",1,"hip",1.19,14.3
"addmagDist_r","addmag",0.25,"hip",3.64,109
"addmagIsch_r","addmag",0.25,"hip",3.64,109
"addmagMid_r","addmag",0.25,"hip",3.64,109
"addmagProx_r","addmag",0.25,"hip",3.64,109
"bflh_r","bflh",1,"knee",1.24,53
"bfsh_r","bfsh",1,"knee",0.738,8.64
"edl_r","edl_ehl",0.676724138,"ankle",0.619,25.6
"ehl_r","edl_ehl",0.323275862,"ankle",0.619,25.6
"fdl_r","fdl",1,"ankle",0.13,13.9
"fhl_r","fhl",1,"ankle",0.622,1.85
"gaslat_r","gaslat",1,"ankle",1.08,15.7
"gasmed_r","gasmed",1,"ankle",1.71,46.2
"glmax1_r","glmax",0.294759,"hip",6.01,105
"glmax2_r","glmax",0.421277055,"hip",6.01,105
"glmax3_r","glmax",0.283963945,"hip",6.01,105
"glmed1_r","glmed",0.400572831,"hip",2.17,54.8
"glmed2_r","glmed",0.280278232,"hip",2.17,54.8
"glmed3_r","glmed",0.319148936,"hip",2.17,54.8
"glmin1_r","glmin",0.307692308,"hip",0.576,33.1
"glmin2_r","glmin",0.324786325,"hip",0.576,33.1
"glmin3_r","glmin",0.367521368,"hip",0.576,33.1
"grac_r","grac",1,"hip",0.58,32.1
"iliacus_r","iliacus",1,"hip",1.11,39.4
"perbrev_r","peroneals",0.318459658,"ankle",0.956,12.5
"perlong_r","peroneals",0.681540342,"ankle",0.956,12.5
"piri_r","piri",1,"hip",0.137,25.7
"psoas_r","psoas",1,"hip",2.43,-26.3
"recfem_r","recfem",1,"knee",1.71,56.9
"sart_r","sart",1,"hip",1.19,15.9
"semimem_r","semimem",1,"knee",1.54,54.5
"semiten_r","semiten",1,"knee",1.27,29.1
"soleus_r","soleus",1,"ankle",2.57,120
"tfl_r","tfl",1,"hip",0.62,-11.8
"tibant_r","tibant",1,"ankle",0.796,36.7
"tibpost_r","tibpost",1,"ankle",0.451,48.9
"vasint_r","vasint",1,"knee",1.29,111
"vaslat_r","vaslat",1,"knee",5.89,102
"vasmed_r","vasmed",1,"knee",3.03,57.6
"addbrev_l","addbrev",1,"hip",0.622,27.1
"addlong_l","addlong",1,"hip",1.19,14.3
"addmagDist_l","addmag",0.25,"hip",3.64,109
"addmagIsch_l","addmag",0.25,"hip",3.64,109
"addmagMid_l","addmag",0.25,"hip",3.64,109
"addmagProx_l","addmag",0.25,"hip",3.64,109
"bflh_l","bflh",1,"knee",1.24,53
"bfsh_l","bfsh",1,"knee",0.738,8.64
"edl_l","edl_ehl",0.676724138,"ankle",0.619,25.6
"ehl_l","edl_ehl",0.323275862,"ankle",0.619,25.6
"fdl_l","fdl",1,"ankle",0.13,13.9
"fhl_l","fhl",1,"ankle",0.622,1.85
"gaslat_l","gaslat",1,"ankle",1.08,15.7
"gasmed_l","gasmed",1,"ankle",1.71,46.2
"glmax1_l","glmax",0.294759,"hip",6.01,105
"glmax2_l","glmax",0.421277055,"hip",6.01,105
"glmax3_l","glmax",0.283963945,"hip",6.01,105
"glmed1_l","glmed",0.400572831,"hip",2.17,54.8
"glmed2_l","glmed",0.280278232,"hip",2.17,54.8
"glmed3_l","glmed",0.319148936,"hip",2.17,54.8
"glmin1_l","glmin",0.307692308,"hip",0.576,33.1
"glmin2_l","glmin",0.324786325,"hip",0.576,33.1
"glmin3_l","glmin",0.367521368,"hip",0.576,33.1
"grac_l","grac",1,"hip",0.58,32.1
"iliacus_l","iliacus",1,"hip",1.11,39.4
"perbrev_l","peroneals",0.318459658,"ankle",0.956,12.5
"perlong_l","peroneals",0.681540342,"ankle",0.956,12.5
"piri_l","piri",1,"hip",0.137,25.7
"psoas_l","psoas",1,"hip",2.43,-26.3
"recfem_l","recfem",1,"knee",1.71,56.9
"sart_l","sart",1,"hip",1.19,15.9
"semimem_l","semimem",1,"knee",1.54,54.5
"semiten_l","semiten",1,"knee",1.27,29.1
"soleus_l","soleus",1,"ankle",2.57,120
"tfl_l","tfl",1,"hip",0.62,-11.8
"tibant_l","tibant",1,"ankle",0.796,36.7
"tibpost_l","tibpost",1,"ankle",0.451,48.9
"vasint_l","vasint",1,"knee",1.29,111
"vaslat_l","vaslat",1,"knee",5.89,102
"vasmed_l","vasmed",1,"knee",3.03,57.6
